epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2064.73,2.33586,1.31532,0.90886,0.07925,0.33905,0.05657,0.02221,2.11171,16.2532,0.86465,0.0068122,0.0068122,0.0068122
163,2080.04,2.44618,1.358,0.93738,0.07654,0.28137,0.05177,0.01831,2.07519,17.5137,0.85166,0.0067924,0.0067924,0.0067924
164,2094.69,2.35323,1.31512,0.93327,0.08798,0.28918,0.06029,0.0203,1.95707,16.0928,0.85084,0.0067726,0.0067726,0.0067726
165,2109.28,2.43509,1.33178,0.91824,0.07803,0.26058,0.05105,0.01819,2.11727,17.5171,0.85415,0.0067528,0.0067528,0.0067528
166,2124.22,2.37431,1.29678,0.92678,0.06944,0.27843,0.05228,0.01927,1.96892,17.7191,0.84462,0.006733,0.006733,0.006733
167,2138.88,2.40136,1.29099,0.92504,0.06204,0.27522,0.04926,0.01901,1.98215,19.4752,0.84632,0.0067132,0.0067132,0.0067132
168,2153.45,2.37897,1.3023,0.93295,0.07104,0.28575,0.05082,0.0167,2.19478,18.1708,0.86731,0.0066934,0.0066934,0.0066934
169,2168.21,2.34429,1.32098,0.93949,0.07354,0.31755,0.05252,0.01829,2.25656,16.9056,0.91079,0.0066736,0.0066736,0.0066736
170,2182.93,2.3288,1.29616,0.92667,0.07992,0.30141,0.05762,0.01746,2.19996,20.4395,0.86164,0.0066538,0.0066538,0.0066538
171,2197.55,2.44039,1.3487,0.92959,0.08155,0.26782,0.05379,0.0171,2.16997,18.1103,0.84873,0.006634,0.006634,0.006634
172,2212.12,2.37065,1.28673,0.93288,0.07572,0.28918,0.05899,0.01749,2.08557,16.8269,0.8682,0.0066142,0.0066142,0.0066142
173,2226.92,2.4,1.35179,0.94355,0.08044,0.26767,0.05574,0.02056,2.25861,17.8254,0.8864,0.0065944,0.0065944,0.0065944
174,2241.65,2.34732,1.29633,0.93994,0.07977,0.27499,0.05195,0.01932,2.31571,18.4418,0.89473,0.0065746,0.0065746,0.0065746
175,2256.36,2.35309,1.29987,0.9239,0.07147,0.30336,0.05438,0.01744,2.25332,18.9166,0.87272,0.0065548,0.0065548,0.0065548
176,2270.94,2.34129,1.30451,0.92886,0.08102,0.25326,0.05495,0.01858,2.16808,16.1601,0.84928,0.006535,0.006535,0.006535
